# dim, static, lin, sqrt, cerf
3 2.5 2.5 2.5 2.5
5 2.5 2.5 2.5 2.5
7 2.5 2.5 2.5 2.5
9 2.5 2.5 2.5 2.5
11 2.5 2.5 2.5 2.5
13 2.5 2.5 2.5 2.5
15 2.5 2.5 2.5 2.5
17 2.5 2.5 2.5 2.5
19 2.5 2.5 2.5 2.5
21 2.5 2.5 2.5 2.5
23 2.5 2.5 2.5 2.5
25 2.5 2.5 2.5 2.5
27 2.5 2.5 2.5 2.5
29 2.5 2.5 2.5 2.5
31 2.5 2.5 2.5 2.5
33 2.5 2.5 2.5 2.5
35 2.39 2.5 2.5 2.5
37 2.39 2.5 2.5 2.5
39 2.28 2.5 2.5 2.5
41 2.28 2.5 2.5 2.5
43 2.17 2.5 2.5 2.5
45 2.07 2.5 2.5 2.5
47 2.07 2.5 2.5 2.5
49 2.07 2.5 2.5 2.5
51 1.96 2.5 2.5 2.5
53 1.96 2.5 2.5 2.5
55 1.85 2.5 2.5 2.5
57 1.85 2.5 2.5 2.5
59 1.85 2.5 2.5 2.5
61 1.85 2.5 2.5 2.5
63 1.85 2.5 2.5 2.5
65 1.74 2.5 2.5 2.5
67 1.74 2.5 2.39 2.5
69 1.74 2.5 2.39 2.5
71 1.74 2.5 2.28 2.5
