# dim, static, lin, sqrt, cerf
3 2.5 2.5 2.5 2.5
5 2.5 2.5 2.5 2.5
7 2.5 2.5 2.5 2.5
9 2.5 2.5 2.5 2.5
11 2.5 2.5 2.5 2.5
13 2.28 2.5 2.5 2.5
15 2.17 2.5 2.5 2.5
17 1.96 2.5 2.5 2.5
19 1.85 2.5 2.5 2.5
21 1.85 2.5 2.5 2.5
23 1.74 2.5 2.39 2.5
25 1.63 2.5 2.28 2.5
27 1.63 2.5 2.17 2.5
29 1.52 2.5 2.07 2.5
31 1.52 2.5 1.96 2.5
33 1.41 2.5 1.96 2.5
35 1.41 2.5 1.85 2.39
37 1.41 2.5 1.74 2.28
39 1.3 2.5 1.74 2.28
41 1.3 2.5 1.63 2.17
43 1.3 2.5 1.63 2.17
45 1.2 2.39 1.63 2.07
47 1.2 2.39 1.52 2.07
49 1.2 2.28 1.52 2.07
51 1.2 2.28 1.41 1.96
53 1.09 2.17 1.41 1.96
55 1.09 2.17 1.41 1.96
57 1.09 2.07 1.41 1.85
59 1.09 2.07 1.3 1.85
61 1.09 2.07 1.3 1.85
63 1.09 1.96 1.3 1.74
65 0.98 1.96 1.3 1.74
67 0.98 1.96 1.2 1.74
69 0.98 1.85 1.2 1.74
71 0.98 1.85 1.2 1.63
