# dim, static, lin, sqrt, cerf
3 0.7481823768170248 1.3721078212816198 1.364671719171932 1.2861436519662772
5 1.3569995351072364 2.880573739971169 2.849319515642779 2.539855966678251
7 2.216547679205759 5.086688610010381 5.008061646738586 4.246510299895353
9 3.4493589181845326 7.475602104350944 7.341057594734099 6.000693864051382
11 4.72378372636558 9.318877672331837 9.153705519806943 7.3136033175155895
13 6.325857951987964 11.801276782772398 11.633387440333864 9.189160000289599
15 7.775684869422736 13.671200209322425 13.571568109133423 10.68397580010618
17 9.67855610517829 16.287666325165393 16.339014162842325 12.87999215358252
19 11.979773496245997 19.006368861549426 19.32887654051835 15.284406312302705
21 14.207898127666606 21.079632175615412 21.792320912119713 17.275486323211158
23 16.999944472950755 23.992684289162387 25.233286142842367 20.035082038044894
25 19.39071177077564 26.22002854695954 27.995066763353098 22.271100071920458
27 22.206628382170077 29.333120053794122 31.729278782596104 25.281431435248763
29 25.330436980191774 32.56539052231881 35.61511377361283 28.41084748190226
31 28.34307295682699 35.07272628075456 38.708807491116794 30.91582931122387
33 32.30072628377704 38.558609962077796 42.86797683318307 34.30591640761552
35 36.34328784471831 42.20039942824152 47.13419912990675 37.7974284274626
37 39.741232831979055 45.087197827139775 50.53902480677519 40.602118963962845
39 43.71031371524868 49.04188490799435 55.03821605848403 44.28511934300324
41 47.29084773073838 52.20048246626054 58.62937431111165 47.249337406308726
43 52.22899881656713 56.470508230470905 63.349105069884 51.146894930692554
45 57.50923903777115 60.88388127056173 68.26635595938612 55.20161436100507
47 61.86746692748325 64.359323424978 72.07562997751255 58.338906201906674
49 67.00802964958423 68.95895069818876 77.18457011355937 62.560113944705286
51 71.422430734401 72.58973168680157 81.26083918656803 65.82845815615961
53 77.19643373757782 77.37642552605082 86.52772902602948 70.13635916373656
55 83.10164671192267 82.27645256194181 91.97722901381202 74.60882180108887
57 88.44565037918241 86.13412760821188 96.32296806059603 78.03966288886492
59 95.03104434330368 91.20495232397674 101.94920117561182 82.58228808380717
61 100.40521414007647 95.22734913703339 106.33829036643982 86.2270082155362
63 106.93247464840164 100.46303692634035 112.19453597506195 91.03505999212229
65 114.04601220583508 105.81925011868897 118.2075072843856 95.8038530821993
67 119.90320382644212 110.05473941534864 122.90005617405787 99.604649356511
69 127.54217204905271 115.54796330974716 128.93730162644195 104.6831586837373
71 133.96454813554973 119.8629608091139 133.68285026348735 108.71389200261903
