# dim, static, lin, sqrt, cerf
3 1.4963647536340496 2.7442156425632396 2.729343438343864 2.5722873039325544
5 1.9385707644389092 4.115105342815956 4.070456450918256 3.628365666683216
7 2.216547679205759 5.086688610010381 5.008061646738586 4.246510299895353
9 2.653353013988102 5.750463157193034 5.646967380564691 4.6159183569626006
11 3.1491891509103866 6.212585114887891 6.102470346537961 4.875735545010393
13 3.514365528882202 6.556264879317999 6.462993022407702 5.105088889049777
15 3.887842434711368 6.8356001046612125 6.785784054566712 5.34198790005309
17 4.208067871816648 7.081594054419737 7.103919201235795 5.59999658851414
19 4.607605190863844 7.310141869826701 7.4341832848147495 5.878617812424117
21 5.0742493313095025 7.52844006271979 7.782971754328469 6.169816544003985
23 5.483853055790566 7.739575577149157 8.139769723497537 6.462929689691901
25 5.875973263871406 7.945463196048346 8.483353564652454 6.74881820361226
27 6.168507883936133 8.1480889038317 8.81368855072114 7.022619843124657
29 6.494983841074815 8.350100133927901 9.132080454772522 7.2848326876672465
31 6.912944623616339 8.554323483110869 9.441172558808974 7.540446173469237
33 7.341074155403872 8.763320445926771 9.742722007541607 7.796799183548981
35 7.732614435046449 8.978808388987558 10.028553006363138 8.042006048396297
37 8.110455679995724 9.20146894431424 10.314086695260242 8.286146727339355
39 8.405829560624746 9.431131713075835 10.584272318939236 8.516369104423699
41 8.75756439458118 9.66675601227047 10.85729153909475 8.749877297464579
43 9.162982248520548 9.907106707100159 11.113878082435788 8.973139461525008
45 9.584873172961858 10.14731354509362 11.377725993231019 9.20026906016751
47 9.978623697981169 10.380536036286774 11.625101609276218 9.409501000307527
49 10.308927638397574 10.609069338182886 11.874549248239905 9.624632914570045
51 10.660064288716567 10.83428831146292 12.128483460681796 9.825143008382032
53 11.028061962511117 11.053775075150117 12.361104146575638 10.019479880533794
55 11.383787220811325 11.270746926293398 12.59962041285096 10.220386548094364
57 11.792753383890988 11.484550347761584 12.84306240807947 10.40528838518199
59 12.183467223500474 11.692942605638045 13.070410407129723 10.587472831257331
61 12.550651767509558 11.903418642129173 13.292286295804978 10.778376026942025
63 12.883430680530315 12.103980352571126 13.517413972899028 10.968079517123165
65 13.261164209980823 12.304563967289415 13.745058986556465 11.139982916534802
67 13.625364071186604 12.5062203881078 13.965915474324756 11.318710154148977
69 14.015623302093704 12.697578385686501 14.16893424466395 11.503643811399703
71 14.40479012210212 12.888490409582138 14.374500028331973 11.689665806733228
