# dim, static, lin, sqrt, cerf
3 0.5 0.5 0.5 0.5
5 0.7 0.7 0.7 0.7
7 1.0 1.0 1.0 1.0
9 1.3 1.3 1.3 1.3
11 1.5 1.5 1.5 1.5
13 1.8 1.8 1.8 1.8
15 2.0 2.0 2.0 2.0
17 2.3 2.3 2.3 2.3
19 2.6 2.6 2.6 2.6
21 2.8 2.8 2.8 2.8
23 3.1 3.1 3.1 3.1
25 3.3 3.3 3.3 3.3
27 3.6 3.6 3.6 3.6
29 3.9 3.9 3.9 3.9
31 4.1 4.1 4.1 4.1
33 4.4 4.4 4.4 4.4
35 4.7 4.7 4.7 4.7
37 4.9 4.9 4.9 4.9
39 5.2 5.2 5.2 5.2
41 5.4 5.4 5.4 5.4
43 5.7 5.7 5.7 5.7
45 6.0 6.0 6.0 6.0
47 6.2 6.2 6.2 6.2
49 6.5 6.5 6.5 6.5
51 6.7 6.7 6.7 6.7
53 7.0 7.0 7.0 7.0
55 7.3 7.3 7.3 7.3
57 7.5 7.5 7.5 7.5
59 7.8 7.8 7.8 7.8
61 8.0 8.0 8.0 8.0
63 8.3 8.3 8.3 8.3
65 8.6 8.6 8.6 8.6
67 8.8 8.8 8.8 8.8
69 9.1 9.1 9.1 9.1
71 9.3 9.3 9.3 9.3
