# dim, static, lin, sqrt, cerf
3 0.5028244593007322 0.5875485624742522 0.5867444779068314 0.5779934511704942
5 1.0609570365933836 1.4417399070992238 1.4380604502675738 1.398687375629936
7 1.6569569515282907 2.6277561165099868 2.617231923641831 2.506312082535283
9 2.257349205836842 4.104479792984587 4.081264141491902 3.8405893380110934
11 2.872646217405748 5.827444394794476 5.784164060695766 5.342908002750081
13 3.529081713313692 7.752272475779126 7.68064446029533 6.961922362701039
15 4.072017361516947 8.607705975894607 8.512835008878575 7.574231985147088
17 4.822796982337258 10.70745308412274 10.571381146896039 9.240115531569355
19 5.6749471706727075 12.91193306744321 12.72802370135082 10.941898177324111
21 6.648950305128347 15.194784868156018 14.958088787398259 12.66492876561847
23 7.75556219993452 17.535304813978115 17.24293329883739 14.401378829496675
25 8.993379035391477 19.918055734360333 19.5694696596981 16.148593376616578
27 10.348238240455425 22.332032072030845 21.929307868516233 17.90762722218516
29 11.796441317796662 24.770011517959357 24.31795663509923 19.682190467452006
31 12.609988994886093 25.412348422792356 24.95176898472354 20.045643828016686
33 14.171342053152127 27.84635442945351 27.35473192674793 21.84345906351165
35 15.768809430118637 30.301631727996483 29.791806576460704 23.67570560030062
37 17.3666661833502 32.77843334898303 32.26620765831072 25.54819418257175
39 18.977573626517653 35.277665222656076 34.78213602912585 27.467351311848862
41 20.618402590023017 37.80105172977938 37.34438729861487 29.438684329579466
43 22.29029674690354 40.350448308417924 39.95803144162474 31.467292936895785
45 24.062223023838673 42.927795016548956 42.62797706623182 33.55705184705554
47 25.131655158231474 43.46519449196387 43.297666652786205 34.0885511667045
49 27.00287143784466 46.07898305921547 46.06357589298591 36.2848157666536
51 29.035668278457806 48.726051653501024 48.9002609409664 38.55050435167025
53 31.17460760779799 51.40781393712154 51.81187799244536 40.88615107963559
55 33.52571503982878 54.124808061965396 54.801625264491086 43.29187909473601
57 35.939320495951776 56.87757653565385 57.872759729349525 45.76713378224856
59 38.531126791932465 59.6664955328332 61.02862508590098 48.31048487708253
61 39.837266683184374 60.2596418084892 61.976002463016165 49.101260075936096
63 42.62369438252219 63.09901710818086 65.27177649154692 51.744459137071615
65 45.37173865011364 65.9747532194084 68.65665256355895 54.44780620368534
67 48.173228395932504 68.88677600907626 72.1003572258792 57.20800706203718
69 50.999833418878254 71.83508667712968 75.59187365954676 60.021626067060616
71 53.83962508833456 74.81980439271139 79.16299405459681 62.88490295957338
