# dim, static, lin, sqrt, cerf
3 0.2 0.2 0.2 0.2
5 0.3 0.3 0.3 0.3
7 0.4 0.4 0.4 0.4
9 0.5 0.5 0.5 0.5
11 0.6 0.6 0.6 0.6
13 0.7 0.7 0.7 0.7
15 0.7 0.7 0.7 0.7
17 0.8 0.8 0.8 0.8
19 0.9 0.9 0.9 0.9
21 1.0 1.0 1.0 1.0
23 1.1 1.1 1.1 1.1
25 1.2 1.2 1.2 1.2
27 1.3 1.3 1.3 1.3
29 1.4 1.4 1.4 1.4
31 1.4 1.4 1.4 1.4
33 1.5 1.5 1.5 1.5
35 1.6 1.6 1.6 1.6
37 1.7 1.7 1.7 1.7
39 1.8 1.8 1.8 1.8
41 1.9 1.9 1.9 1.9
43 2.0 2.0 2.0 2.0
45 2.1 2.1 2.1 2.1
47 2.1 2.1 2.1 2.1
49 2.2 2.2 2.2 2.2
51 2.3 2.3 2.3 2.3
53 2.4 2.4 2.4 2.4
55 2.5 2.5 2.5 2.5
57 2.6 2.6 2.6 2.6
59 2.7 2.7 2.7 2.7
61 2.7 2.7 2.7 2.7
63 2.8 2.8 2.8 2.8
65 2.9 2.9 2.9 2.9
67 3.0 3.0 3.0 3.0
69 3.1 3.1 3.1 3.1
71 3.2 3.2 3.2 3.2
