# dim, static, lin, sqrt, cerf
3 2.5 2.5 2.5 2.5
5 1.74 2.5 2.5 2.5
7 1.85 2.5 2.5 2.5
9 1.74 2.5 2.28 2.5
11 1.63 2.5 2.17 2.5
13 1.52 2.5 1.96 2.5
15 1.52 2.5 2.07 2.5
17 1.41 2.5 1.85 2.39
19 1.41 2.5 1.74 2.28
21 1.41 2.5 1.85 2.39
23 1.3 2.5 1.74 2.28
25 1.3 2.5 1.63 2.17
27 1.2 2.39 1.63 2.07
29 1.2 2.28 1.52 2.07
31 1.2 2.28 1.41 1.96
33 1.3 2.5 1.63 2.17
35 1.2 2.39 1.52 2.07
37 1.2 2.28 1.52 2.07
39 1.2 2.17 1.41 1.96
41 1.09 2.17 1.41 1.96
43 1.09 2.07 1.41 1.85
45 1.09 2.07 1.3 1.85
47 1.09 1.96 1.3 1.74
49 0.98 1.96 1.3 1.74
51 0.98 1.85 1.2 1.74
53 0.98 1.85 1.2 1.74
55 0.98 1.85 1.2 1.63
57 0.98 1.74 1.2 1.63
59 1.09 2.07 1.3 1.85
61 1.09 2.07 1.3 1.85
63 1.09 1.96 1.3 1.74
65 0.98 1.96 1.3 1.74
67 0.98 1.96 1.2 1.74
69 0.98 1.85 1.2 1.74
71 0.98 1.85 1.2 1.63
