# dim, static, lin, sqrt, cerf
3 2.957533515292241 2.785872314639797 2.7492561192223355 2.185424994073084
5 2.763250647543813 4.778164577397552 4.831758616981252 3.7993034944188793
7 4.302944888631065 7.07451479606128 7.300267674542721 5.787858413537093
9 7.003634948750838 9.456650558007299 10.012444994184888 7.955130259380147
11 8.683490378966995 11.71750661417762 12.559637420163355 9.99412090434793
13 11.586143415201466 14.587767637094988 16.051479897248075 12.808095079439784
15 13.396655112754237 16.93948108885347 18.610880828320276 14.850031103160926
17 16.98882108993331 19.99228187412164 22.277102392034685 17.851632007296462
19 20.738529400057033 23.32108769665428 26.155730519689214 21.026016984964468
21 21.406151318011567 24.80839939292381 27.704917816982853 22.21608489896608
23 25.44489300317692 28.648814362536317 32.1380504503316 25.84245355384713
25 29.305553225487525 32.187905444502555 36.138059910711924 29.1387893974083
27 33.96562923671916 35.946865985977496 40.30476447874619 32.5928162833641
29 39.18263416217804 40.47986513035498 45.305825988343926 36.703570471372345
31 43.958990799696636 44.53835103933633 49.829910182817216 40.37412817057692
33 40.84101869588841 43.639391971581205 48.93271746047997 39.54721699471231
35 46.07151792472046 48.10364904753616 53.88594290781756 43.604832023571944
37 50.59789993948175 51.91768960140545 58.11248589390488 47.11157522094677
39 56.0417002523153 56.6646849341656 63.3827584592025 51.360518551984356
41 61.15261603130137 60.68254587359344 67.84050214124947 55.02157400901495
43 67.59711463461197 65.67675807626308 73.45756920554999 59.497544846408346
45 73.29195210459166 69.92046506275301 78.1174491667407 63.30587841428504
47 79.77502076944239 75.1585580101365 83.93148787701826 68.12111062178356
49 85.97314766286011 79.598639358901 88.9219605722229 72.05974393653347
51 93.25597348379739 85.08700892328316 94.97609343013683 77.03713036220873
53 100.00170494625556 89.69406478601589 100.04430538903523 81.35852324618968
55 106.59614804048061 94.42663479646417 105.26774344328304 85.51916739412468
57 114.25233164639423 100.21194415513432 111.76730945979136 90.7170562987019
59 95.03104434330368 91.20495232397674 101.94920117561182 82.58228808380717
61 100.40521414007647 95.22734913703339 106.33829036643982 86.2270082155362
63 106.93247464840164 100.46303692634035 112.19453597506195 91.03505999212229
65 114.04601220583508 105.81925011868897 118.2075072843856 95.8038530821993
67 119.90320382644212 110.05473941534864 122.90005617405787 99.604649356511
69 127.54217204905271 115.54796330974716 128.93730162644195 104.6831586837373
71 133.96454813554973 119.8629608091139 133.68285026348735 108.71389200261903
