# dim, static, lin, sqrt, cerf
3 1.019839143204221 1.4662485866525246 1.4469769048538608 1.1502236810910969
5 1.1513544364765889 1.9909019072489802 2.0132327570755217 1.5830431226745332
7 1.5367660316539518 2.5266124271647428 2.607238455193829 2.067092290548962
9 2.1886359214846367 2.9552032993772808 3.1288890606827775 2.485978206056296
11 2.5539677585197045 3.4463254747581233 3.6940110059303986 2.939447324808215
13 2.8965358538003665 3.646941909273747 4.012869974312019 3.202023769859946
15 3.3491637781885593 4.234870272213367 4.652720207080069 3.7125077757902316
17 3.7752935755407355 4.4427293053603645 4.95046719822993 3.9670293349547694
19 4.147705880011407 4.664217539330856 5.231146103937843 4.205203396992894
21 4.653511156089471 5.393130302809524 6.022808221083229 4.829583673688279
23 4.989194706505279 5.617414580889474 6.301578519672863 5.0671477556563005
25 5.328282404634096 5.85234644445501 6.570556347402168 5.297961708619691
27 5.756886311308332 6.092689150165677 6.831316013346812 5.524206149722729
29 6.1222865878403185 6.324978926617966 7.079035310678739 5.734932886151929
31 6.464557470543623 6.549757505784754 7.327927968061355 5.937371789790723
33 7.041554947566968 7.524033098548484 8.436675424220685 6.818485688743502
35 7.430889987858139 7.758653072183251 8.691281114164122 7.033037423156765
37 7.784292298381808 7.9873368617546845 8.940382445216136 7.247934649376426
39 8.121985543813812 8.21227317886458 9.185907023072826 7.443553413331066
41 8.493418893236301 8.428131371332423 9.422291964062428 7.641885279029855
43 8.894357188764733 8.641678694245142 9.665469632309208 7.828624321895835
45 9.277462291720461 8.850691780095316 9.88828470465072 8.013402330922156
47 9.611448285474985 9.055247953028493 10.11222745506244 8.20736272551609
49 9.996877635216292 9.255655739407093 10.33976285723522 8.37903999262017
51 10.361774831533042 9.454112102587018 10.552899270015203 8.559681151356525
53 10.75287149959737 9.644523095270523 10.757452192369378 8.7482283060419
55 11.103765420883398 9.836107791298351 10.96538994200865 8.908246603554655
57 11.425233164639423 10.021194415513433 11.176730945979138 9.071705629870191
59 12.183467223500474 11.692942605638045 13.070410407129723 10.587472831257331
61 12.550651767509558 11.903418642129173 13.292286295804978 10.778376026942025
63 12.883430680530315 12.103980352571126 13.517413972899028 10.968079517123165
65 13.261164209980823 12.304563967289415 13.745058986556465 11.139982916534802
67 13.625364071186604 12.5062203881078 13.965915474324756 11.318710154148977
69 14.015623302093704 12.697578385686501 14.16893424466395 11.503643811399703
71 14.40479012210212 12.888490409582138 14.374500028331973 11.689665806733228
