# dim, static, lin, sqrt, cerf
3 2.9 1.9 1.9 1.9
5 2.4 2.4 2.4 2.4
7 2.8 2.8 2.8 2.8
9 3.2 3.2 3.2 3.2
11 3.4 3.4 3.4 3.4
13 4.0 4.0 4.0 4.0
15 4.0 4.0 4.0 4.0
17 4.5 4.5 4.5 4.5
19 5.0 5.0 5.0 5.0
21 4.6 4.6 4.6 4.6
23 5.1 5.1 5.1 5.1
25 5.5 5.5 5.5 5.5
27 5.9 5.9 5.9 5.9
29 6.4 6.4 6.4 6.4
31 6.8 6.8 6.8 6.8
33 5.8 5.8 5.8 5.8
35 6.2 6.2 6.2 6.2
37 6.5 6.5 6.5 6.5
39 6.9 6.9 6.9 6.9
41 7.2 7.2 7.2 7.2
43 7.6 7.6 7.6 7.6
45 7.9 7.9 7.9 7.9
47 8.3 8.3 8.3 8.3
49 8.6 8.6 8.6 8.6
51 9.0 9.0 9.0 9.0
53 9.3 9.3 9.3 9.3
55 9.6 9.6 9.6 9.6
57 10.0 10.0 10.0 10.0
59 7.8 7.8 7.8 7.8
61 8.0 8.0 8.0 8.0
63 8.3 8.3 8.3 8.3
65 8.6 8.6 8.6 8.6
67 8.8 8.8 8.8 8.8
69 9.1 9.1 9.1 9.1
71 9.3 9.3 9.3 9.3
