#dim, min, iter, min, iter, min, iter, min, iter
3 2.43 1.79 2.78 1.61 5.5 1.01 4.01 1.16
5 4.66 2.65 5.28 2.36 9.06 1.29 7.34 1.64
7 7.13 3.43 8.03 3.04 13.94 1.68 11.19 2.11
9 9.75 4.14 10.96 3.65 19.11 2.03 15.29 2.55
11 12.52 4.81 14.04 4.23 24.57 2.36 19.63 2.96
13 15.4 5.44 17.27 4.79 30.3 2.67 24.16 3.35
15 18.38 6.04 20.62 5.32 36.26 2.98 28.88 3.73
17 21.46 6.63 24.08 5.84 42.42 3.27 33.76 4.09
19 24.62 7.19 27.64 6.34 48.75 3.56 38.77 4.45
21 27.87 7.74 31.3 6.83 55.28 3.84 43.95 4.8
23 31.2 8.28 35.05 7.31 61.98 4.11 49.25 5.13
25 34.59 8.81 38.88 7.78 68.8 4.38 54.69 5.47
27 38.06 9.33 42.78 8.23 75.83 4.65 60.23 5.8
29 41.58 9.83 46.76 8.68 82.99 4.91 65.92 6.12
31 45.17 10.33 50.8 9.12 90.19 5.16 71.63 6.43
33 48.82 10.82 54.91 9.56 97.55 5.41 77.48 6.74
35 52.52 11.3 59.07 9.98 105.06 5.65 83.45 7.05
37 56.28 11.78 63.29 10.4 112.73 5.9 89.44 7.35
39 60.08 12.25 67.58 10.82 120.36 6.13 95.51 7.65
41 63.94 12.71 71.9 11.23 128.11 6.37 101.7 7.94
43 67.84 13.17 76.29 11.63 136.0 6.6 107.99 8.23
45 71.78 13.62 80.74 12.04 144.03 6.83 114.32 8.52
47 75.78 14.07 85.2 12.43 152.2 7.07 120.67 8.8
49 79.81 14.52 89.74 12.82 160.49 7.3 127.13 9.08
51 83.87 14.95 94.34 13.21 168.74 7.52 133.69 9.36
53 87.98 15.39 98.94 13.59 177.02 7.74 140.36 9.64
55 92.14 15.82 103.6 13.97 185.41 7.96 147.1 9.92
57 96.31 16.24 108.31 14.35 193.89 8.17 153.78 10.18
59 100.52 16.66 113.09 14.72 202.48 8.39 160.55 10.45
61 104.79 17.08 117.94 15.1 211.17 8.61 167.4 10.72
63 109.08 17.5 122.84 15.48 219.96 8.82 174.34 10.98
65 113.38 17.91 127.74 15.84 228.84 9.03 181.36 11.25
67 117.73 18.31 132.59 16.2 237.82 9.25 188.46 11.51
69 122.12 18.72 137.49 16.55 246.9 9.46 195.64 11.78
71 126.55 19.12 142.45 16.91 255.8 9.66 202.8 12.03
