#dim, min, iter, min, iter, min, iter, min, iter
3 1.67 1.23 1.86 1.07 5.83 1.07 3.93 1.13
5 3.04 1.73 3.46 1.55 7.93 1.13 5.04 1.13
7 4.67 2.25 5.4 2.04 9.46 1.14 7.91 1.49
9 6.46 2.74 7.5 2.5 13.35 1.42 11.03 1.84
11 8.4 3.22 9.76 2.94 18.09 1.74 14.16 2.13
13 10.46 3.69 12.11 3.36 22.13 1.95 17.47 2.42
15 12.62 4.15 14.55 3.76 26.36 2.17 20.9 2.7
17 14.86 4.59 17.06 4.14 30.94 2.39 24.46 2.97
19 17.17 5.02 19.63 4.5 35.56 2.6 28.15 3.23
21 19.54 5.43 22.27 4.86 40.31 2.8 31.94 3.48
23 21.96 5.83 24.98 5.21 45.24 3.0 35.82 3.73
25 24.43 6.22 27.74 5.55 50.21 3.2 39.79 3.98
27 26.94 6.6 30.57 5.88 55.34 3.39 43.82 4.22
29 29.5 6.97 33.46 6.21 60.49 3.58 47.94 4.45
31 32.09 7.34 36.41 6.54 65.82 3.76 52.13 4.68
33 34.72 7.7 39.4 6.86 71.17 3.94 56.41 4.91
35 37.39 8.05 42.45 7.18 76.63 4.12 60.74 5.13
37 40.1 8.39 45.53 7.49 82.24 4.3 65.17 5.36
39 42.85 8.74 48.68 7.8 87.79 4.47 69.61 5.57
41 45.64 9.08 51.85 8.1 93.46 4.65 74.14 5.79
43 48.47 9.41 55.03 8.39 99.27 4.82 78.73 6.0
45 51.33 9.74 58.27 8.69 105.12 4.99 83.32 6.21
47 54.23 10.07 61.55 8.98 110.96 5.15 88.01 6.42
49 57.16 10.4 64.84 9.26 116.92 5.32 92.78 6.63
51 60.13 10.72 68.19 9.55 122.98 5.48 97.52 6.83
53 63.12 11.04 71.55 9.83 129.16 5.65 102.35 7.03
55 66.15 11.36 74.95 10.11 135.46 5.81 107.26 7.23
57 69.21 11.67 78.4 10.38 141.89 5.98 112.22 7.43
59 72.28 11.98 81.85 10.66 148.28 6.14 117.15 7.63
61 75.4 12.29 85.35 10.93 154.39 6.29 122.15 7.82
63 78.56 12.6 88.9 11.2 160.58 6.44 127.22 8.01
65 81.75 12.91 92.45 11.47 166.86 6.59 132.37 8.21
67 84.9 13.21 96.04 11.73 173.22 6.74 137.5 8.4
69 88.08 13.5 99.67 12.0 179.67 6.88 142.62 8.58
71 91.29 13.79 103.34 12.26 186.2 7.03 147.81 8.77
