#dim, min, iter, min, iter, min, iter, min, iter
3 2.13 1.57 2.3 1.33 5.45 1.0 3.53 1.02
5 3.82 2.18 4.14 1.85 7.57 1.08 5.73 1.28
7 5.65 2.72 6.24 2.36 10.97 1.32 8.82 1.67
9 7.63 3.24 8.53 2.84 15.25 1.62 12.14 2.02
11 9.74 3.74 10.96 3.3 19.78 1.9 15.62 2.35
13 11.98 4.23 13.51 3.75 24.39 2.15 19.27 2.67
15 14.32 4.71 16.15 4.17 29.2 2.4 23.08 2.98
17 16.74 5.17 18.9 4.58 34.2 2.64 27.02 3.28
19 19.24 5.62 21.73 4.99 39.34 2.87 31.09 3.57
21 21.8 6.06 24.63 5.37 44.63 3.1 35.27 3.85
23 24.42 6.48 27.62 5.76 50.06 3.32 39.55 4.12
25 27.11 6.9 30.67 6.13 55.61 3.54 43.94 4.39
27 29.86 7.32 33.79 6.5 61.22 3.75 48.41 4.66
29 32.66 7.72 36.97 6.87 66.91 3.95 52.98 4.92
31 35.5 8.12 40.21 7.22 72.71 4.16 57.62 5.17
33 38.4 8.51 43.5 7.57 78.59 4.35 62.35 5.43
35 41.35 8.9 46.84 7.92 84.58 4.55 67.15 5.68
37 44.34 9.28 50.23 8.26 90.63 4.74 72.03 5.92
39 47.38 9.66 53.67 8.59 96.78 4.93 76.97 6.16
41 50.45 10.03 57.16 8.93 103.01 5.12 81.98 6.4
43 53.57 10.4 60.69 9.26 109.3 5.31 87.05 6.64
45 56.72 10.77 64.26 9.58 115.68 5.49 92.19 6.87
47 59.91 11.13 67.88 9.9 122.12 5.67 97.39 7.1
49 63.14 11.48 71.53 10.22 128.64 5.85 102.64 7.33
51 66.4 11.84 75.23 10.53 135.22 6.03 107.95 7.56
53 69.69 12.19 78.96 10.85 141.85 6.2 113.32 7.78
55 73.02 12.54 82.73 11.16 148.58 6.38 118.73 8.0
57 76.37 12.88 86.54 11.46 155.33 6.55 124.19 8.22
59 79.76 13.22 90.39 11.77 162.16 6.72 129.71 8.44
61 83.18 13.56 94.29 12.07 169.07 6.89 135.29 8.66
63 86.62 13.89 98.18 12.37 175.99 7.06 140.9 8.88
65 90.1 14.23 102.12 12.67 182.99 7.22 146.5 9.09
67 93.6 14.56 106.09 12.96 190.06 7.39 152.14 9.29
69 97.13 14.89 110.11 13.26 197.16 7.56 157.81 9.5
71 100.69 15.21 114.14 13.55 204.3 7.72 163.52 9.7
