#dim, min, iter, min, iter, min, iter, min, iter
3 2.21 1.62 2.49 1.44 5.44 1.0 3.69 1.07
5 4.16 2.37 4.68 2.09 8.11 1.15 6.49 1.45
7 6.33 3.05 7.1 2.68 12.37 1.49 9.94 1.88
9 8.64 3.67 9.7 3.23 17.12 1.82 13.6 2.27
11 11.08 4.25 12.44 3.75 22.01 2.11 17.48 2.64
13 13.63 4.81 15.31 4.25 27.15 2.4 21.55 2.99
15 16.27 5.35 18.29 4.72 32.51 2.67 25.79 3.33
17 19.0 5.87 21.37 5.18 38.04 2.94 30.18 3.66
19 21.82 6.37 24.54 5.63 43.75 3.19 34.7 3.98
21 24.7 6.86 27.79 6.06 49.63 3.45 39.35 4.29
23 27.66 7.34 31.12 6.49 55.62 3.69 44.11 4.6
25 30.69 7.82 34.52 6.9 61.79 3.93 48.96 4.9
27 33.76 8.27 38.0 7.31 68.07 4.17 53.95 5.19
29 36.9 8.72 41.53 7.71 74.47 4.4 58.99 5.48
31 40.09 9.17 45.13 8.11 81.02 4.63 64.17 5.76
33 43.34 9.61 48.79 8.49 87.64 4.86 69.47 6.05
35 46.63 10.04 52.5 8.87 94.35 5.08 74.81 6.32
37 49.97 10.46 56.28 9.25 101.19 5.3 80.17 6.59
39 53.35 10.88 60.11 9.63 108.16 5.51 85.64 6.86
41 56.77 11.29 63.98 9.99 115.17 5.73 91.2 7.12
43 60.25 11.7 67.91 10.36 122.26 5.93 96.86 7.39
45 63.75 12.1 71.9 10.72 129.46 6.14 102.55 7.64
47 67.3 12.5 75.92 11.07 136.76 6.35 108.29 7.9
49 70.89 12.89 80.0 11.43 144.17 6.56 114.12 8.15
51 74.51 13.28 84.11 11.78 151.64 6.76 120.02 8.4
53 78.18 13.67 88.27 12.12 159.1 6.96 125.99 8.65
55 81.87 14.06 92.49 12.47 166.66 7.15 131.96 8.9
57 85.61 14.44 96.72 12.81 174.31 7.35 138.01 9.14
59 89.38 14.82 100.99 13.15 182.04 7.54 144.13 9.38
61 93.17 15.19 105.32 13.48 189.87 7.74 150.33 9.62
63 97.01 15.56 109.69 13.82 197.78 7.93 156.6 9.86
65 100.88 15.93 114.07 14.15 205.77 8.12 162.86 10.1
67 104.77 16.3 118.49 14.48 213.76 8.31 169.16 10.33
69 108.7 16.66 122.96 14.8 221.76 8.5 175.53 10.57
71 112.67 17.03 127.47 15.13 229.85 8.68 181.96 10.8
