#dim, min, iter, min, iter, min, iter, min, iter
3 1.69 1.24 3.37 1.95 5.63 1.03 4.26 1.23
5 2.21 1.26 2.55 1.14 9.63 1.37 5.87 1.31
7 3.71 1.79 4.22 1.6 11.27 1.36 10.58 2.0
9 5.23 2.22 6.6 2.2 19.65 2.08 10.28 1.71
11 6.94 2.66 8.53 2.57 23.06 2.21 11.12 1.68
13 8.88 3.14 10.7 2.97 24.61 2.17 17.78 2.47
15 10.91 3.59 13.03 3.36 28.88 2.37 29.0 3.74
17 12.99 4.01 15.61 3.79 35.78 2.76 26.82 3.25
19 15.09 4.41 18.42 4.23 48.64 3.55 32.54 3.73
21 17.26 4.8 21.34 4.66 71.95 5.0 40.32 4.4
23 19.54 5.19 24.27 5.06 72.15 4.79 44.23 4.61
25 21.97 5.59 27.21 5.44 71.0 4.52 49.99 5.0
27 24.56 6.02 30.22 5.82 77.88 4.77 56.2 5.41
29 27.3 6.45 33.37 6.2 91.97 5.44 62.53 5.81
31 30.15 6.89 36.76 6.6 120.21 6.87 68.86 6.18
33 33.07 7.33 40.32 7.02 111.94 6.2 75.13 6.54
35 35.99 7.75 44.05 7.45 111.9 6.02 81.93 6.92
37 38.93 8.15 47.89 7.87 146.37 7.66 89.14 7.33
39 41.87 8.54 51.65 8.27 149.39 7.61 96.38 7.72
41 44.8 8.91 55.42 8.66 150.01 7.46 103.48 8.08
43 47.81 9.28 59.2 9.03 174.31 8.46 110.71 8.44
45 50.91 9.66 63.05 9.4 182.47 8.66 118.5 8.83
47 54.08 10.04 66.93 9.76 191.04 8.87 126.55 9.23
49 57.42 10.44 71.02 10.15 207.44 9.43 134.66 9.62
51 60.91 10.86 75.35 10.55 218.41 9.74 142.62 9.99
53 64.46 11.27 79.8 10.96 230.82 10.09 150.54 10.34
55 68.14 11.7 84.35 11.37 245.43 10.53 158.85 10.71
57 71.91 12.13 89.01 11.79 258.66 10.91 167.77 11.11
59 75.74 12.55 93.71 12.2 271.28 11.24 177.02 11.52
61 79.55 12.97 98.41 12.6 284.88 11.61 185.92 11.9
63 83.32 13.37 103.09 12.99 299.08 11.99 194.62 12.26
65 87.08 13.75 107.79 13.37 312.92 12.35 203.27 12.61
67 90.84 14.13 112.54 13.75 326.69 12.7 212.25 12.97
69 94.63 14.5 117.41 14.13 341.49 13.09 221.82 13.35
71 98.46 14.88 122.15 14.5 356.99 13.49 231.85 13.76
