a b c
0.1 0.0 0.019607843137254916
0.1 0.11 0.01965062984874775
0.1 0.22 0.01969342969099085
0.1 0.33 0.01973624007642436
0.1 0.43 0.019775165579414115
0.1 0.54 0.01981798890364169
0.1 0.65 0.019860815238088293
0.1 0.76 0.019903641992063997
0.1 0.87 0.019946466574591058
0.1 0.98 0.01998928639461298
0.1 1.09 0.02003209886120358
0.1 1.2 0.020074901383775975
0.1 1.3 0.020113801959366195
0.1 1.41 0.020156578306364636
0.1 1.52 0.02019933717696695
0.1 1.63 0.020242075983918355
0.1 1.74 0.02028479214132917
0.1 1.85 0.020327483064883464
0.1 1.96 0.02037014617204761
0.1 2.07 0.020412778882278562
0.1 2.17 0.02045150734442442
0.1 2.28 0.020494074866468683
0.1 2.39 0.020536604497800915
0.1 2.5 0.020579093667655896
 
2.3 0.0 0.01960784313725489
2.3 0.11 0.022378612005864048
2.3 0.22 0.025430199533992188
2.3 0.33 0.02876714985815768
2.3 0.43 0.032043238649372294
2.3 0.54 0.0358964380800148
2.3 0.65 0.03997949451430807
2.3 0.76 0.044245345252293435
2.3 0.87 0.04863213660335469
2.3 0.98 0.053064182638833834
2.3 1.09 0.057453803480280397
2.3 1.2 0.06170400012831264
2.3 1.3 0.06536029266697338
2.3 1.41 0.06905690137939488
2.3 1.52 0.07231321884158362
2.3 1.63 0.07503332557056697
2.3 1.74 0.07713264998508845
2.3 1.85 0.07854230477660774
2.3 1.96 0.0792129176412454
2.3 2.07 0.07911773310821758
2.3 2.17 0.07836452548175882
2.3 2.28 0.07682372561058363
2.3 2.39 0.07458335523689537
2.3 2.5 0.07171566137684506
 
4.5 0.0 0.01960784313725483
4.5 0.11 0.023550047341208743
4.5 0.22 0.02816940080229999
4.5 0.33 0.0334822936060522
4.5 0.43 0.038895322750316146
4.5 0.54 0.04542121121359345
4.5 0.65 0.052408215440374994
4.5 0.76 0.05963902592135381
4.5 0.87 0.06681772948062314
4.5 0.98 0.07357899645078626
4.5 1.09 0.07951017543200344
4.5 1.2 0.08418657344130635
4.5 1.3 0.08701903852405404
4.5 1.41 0.08828798138297834
4.5 1.52 0.08745142368451644
4.5 1.63 0.0845074705845369
4.5 1.74 0.07965747655772591
4.5 1.85 0.07330667039659643
4.5 1.96 0.06603540859762562
4.5 2.07 0.058541325465364925
4.5 2.17 0.05215307165200335
4.5 2.28 0.04622270560172356
4.5 2.39 0.04196098289338494
4.5 2.5 0.03968394097308224
 
6.7 0.0 0.019607843137254968
6.7 0.11 0.024442835940745183
6.7 0.22 0.03035257905672439
6.7 0.33 0.03740215777107332
6.7 0.43 0.04476975010361818
6.7 0.54 0.05375923476512701
6.7 0.65 0.06331452552235846
6.7 0.76 0.07285001171472726
6.7 0.87 0.08157580394627702
6.7 0.98 0.08856633222843978
6.7 1.09 0.09289249641302934
6.7 1.2 0.09380806465290054
6.7 1.3 0.09137190889513436
6.7 1.41 0.08526764080447376
6.7 1.52 0.07637184928183804
6.7 1.63 0.06608643141907507
6.7 1.74 0.05618418808101362
6.7 1.85 0.04843622857895113
6.7 1.96 0.044173326524343665
6.7 2.07 0.043905057701535986
6.7 2.17 0.046722624376842097
6.7 2.28 0.05189689317543638
6.7 2.39 0.05734419118782722
6.7 2.5 0.06108808844063702
 
9.0 0.0 0.019607843137254784
9.0 0.11 0.025500565457286992
9.0 0.22 0.03287746971019099
9.0 0.33 0.04182154453172661
9.0 0.43 0.05121367043338298
9.0 0.54 0.06253664639253383
9.0 0.65 0.07409680161344626
9.0 0.76 0.08465042712610252
9.0 0.87 0.09264327317774355
9.0 0.98 0.09650856308484829
9.0 1.09 0.09513205109004289
9.0 1.2 0.0883738999670904
9.0 1.3 0.07854875595099041
9.0 1.41 0.06599305434347293
9.0 1.52 0.05478197768083259
9.0 1.63 0.04798207401691668
9.0 1.74 0.04725705520819621
9.0 1.85 0.05201275906029968
9.0 1.96 0.059418151342265454
9.0 2.07 0.06549150466701444
9.0 2.17 0.06700795775950395
9.0 2.28 0.06318940555760884
9.0 2.39 0.055266575880145864
9.0 2.5 0.04699912280089463
 
11.2 0.0 0.019607843137254867
11.2 0.11 0.026120954389706772
11.2 0.22 0.03456091314288243
11.2 0.33 0.04503465192635733
11.2 0.43 0.056120864942408255
11.2 0.54 0.06931544484930247
11.2 0.65 0.08214090295775527
11.2 0.76 0.09250165677734834
11.2 0.87 0.0980325117592257
11.2 0.98 0.096877014813299
11.2 1.09 0.08869579501786053
11.2 1.2 0.07544663831820093
11.2 1.3 0.06249798303881072
11.2 1.41 0.0519769035838175
11.2 1.52 0.04904663394324261
11.2 1.63 0.05404018311407404
11.2 1.74 0.0630470193078202
11.2 1.85 0.06974783407387922
11.2 1.96 0.06920393918338152
11.2 2.07 0.061268112634401656
11.2 2.17 0.0518058398230884
11.2 2.28 0.045214857284547
11.2 2.39 0.04623032217430019
11.2 2.5 0.05264533370232903
 
13.4 0.0 0.019607843137255016
13.4 0.11 0.026991470886365772
13.4 0.22 0.03670315196604649
13.4 0.33 0.048862000958773535
13.4 0.43 0.06167279279078498
13.4 0.54 0.07648728603604146
13.4 0.65 0.08978156485526904
13.4 0.76 0.09842437552707031
13.4 0.87 0.0994334534457341
13.4 0.98 0.0915767988687847
13.4 1.09 0.07693463687179654
13.4 1.2 0.061164013481039864
13.4 1.3 0.051872105562628994
13.4 1.41 0.05155701546885629
13.4 1.52 0.060273840386491924
13.4 1.63 0.07045125113568552
